Sales,CompPrice,Advertising,Population,Price,Age,Education,Income
11.27,153,2,60,133,59,16,68
6.52,125,3,192,116,51,14,48
4.96,133,3,350,126,55,13,100
4.47,143,7,279,147,40,10,120
8.41,94,13,497,77,51,12,84
6.5,108,3,208,94,77,16,69
9.54,125,9,232,136,72,10,87
7.62,132,2,265,97,62,12,98
3.67,132,0,327,131,76,16,31
6.44,96,14,384,120,36,18,94
5.17,131,0,10,120,31,18,75
6.52,128,0,436,118,80,11,42
10.27,125,12,371,109,44,10,103
12.3,146,10,310,94,30,13,62
6.03,133,10,277,129,45,18,60
6.53,140,0,331,131,28,15,42
7.44,124,0,300,104,77,15,84
0.53,122,7,36,159,28,17,88
9.09,132,0,264,123,34,11,68
8.77,144,11,27,117,47,17,63
3.9,114,0,412,131,39,14,83
10.51,140,9,402,119,41,16,54
7.56,110,0,384,97,72,14,119
11.48,121,13,140,87,56,11,120
10.49,122,8,176,114,57,10,84
10.77,111,17,407,103,75,17,58
7.64,128,0,341,128,45,13,78
5.93,150,7,488,150,25,17,36
6.89,129,10,289,110,50,16,69
7.71,98,0,59,69,65,16,72
7.49,146,0,220,157,51,16,34
10.21,121,8,249,90,48,13,58
12.53,142,1,189,112,39,10,90
9.32,119,0,372,70,30,18,60
4.67,111,0,486,111,29,12,28
2.93,143,5,81,160,67,12,21
3.63,122,0,424,149,51,13,74
5.68,130,0,40,106,39,17,64
8.22,148,0,58,141,27,13,64
0.37,147,7,100,191,27,15,58
6.71,119,17,151,137,55,11,67
6.71,106,0,216,93,60,13,73
7.3,129,0,425,117,45,10,89
11.48,104,15,492,77,73,18,41
8.01,128,12,356,118,71,10,39
12.49,93,12,416,55,75,15,106
9.03,104,13,123,110,35,16,102
6.38,135,5,207,128,66,18,91
0,139,0,358,185,79,15,24
7.54,115,0,38,122,25,12,89
5.61,138,9,480,154,47,11,107
10.48,138,0,148,94,27,17,72
10.66,104,14,89,81,25,14,71
7.78,144,3,70,116,77,18,25
4.94,137,15,434,149,66,13,112
7.43,121,0,79,91,68,11,83
4.74,137,4,230,140,25,13,60
5.32,118,6,426,102,80,18,74
9.95,132,7,35,97,60,11,33
10.07,130,11,449,107,64,10,100
8.68,120,0,93,86,46,17,51
6.03,117,0,142,96,62,17,32
8.07,116,0,426,90,76,15,37
12.11,118,18,509,104,26,15,117
8.79,130,13,297,101,37,13,37
6.67,156,13,170,173,74,14,42
7.56,108,0,408,93,56,14,26
13.28,139,7,71,96,61,10,70
7.23,112,18,481,128,45,11,98
4.19,117,4,420,112,66,11,93
4.1,130,6,410,133,72,16,28
2.52,124,0,333,138,76,16,61
3.62,112,5,500,128,69,10,80
6.42,122,5,335,126,64,14,88
5.56,144,0,349,146,62,12,92
5.94,138,0,139,134,54,18,83
4.1,121,4,413,130,46,10,78
2.05,131,0,132,157,25,14,82
8.74,155,0,237,124,37,14,80
5.68,113,1,317,132,28,12,22
4.97,162,0,27,160,77,17,67
8.19,111,0,466,97,61,10,105
7.78,86,0,497,64,33,12,54
3.02,98,11,326,90,76,11,21
4.36,125,2,357,123,47,14,41
9.39,117,14,445,120,32,15,118
12.04,145,19,501,105,45,11,69
8.23,149,5,220,139,33,10,84
4.83,115,3,48,107,73,18,115
2.34,116,15,170,144,71,11,83
5.73,141,0,243,144,34,17,33
4.34,106,0,481,111,70,14,44
9.7,138,12,156,120,25,14,61
10.62,116,19,359,116,58,17,79
10.59,131,15,262,124,30,10,120
6.43,124,0,125,107,80,11,44
7.49,136,6,178,145,35,13,119
3.45,110,9,276,125,62,14,45
4.1,134,0,464,141,48,13,82
6.68,107,0,412,82,36,14,25
7.8,119,0,245,122,56,14,33
8.69,113,10,68,101,57,16,64
5.4,149,13,381,163,26,11,73
11.19,98,0,404,72,27,18,104
5.16,115,0,119,114,38,14,60
8.09,132,0,123,122,27,11,69
13.14,137,10,24,105,61,15,80
8.65,123,18,218,120,29,14,76
9.43,115,11,289,129,56,16,62
5.53,126,8,95,132,50,17,32
9.32,141,16,361,108,69,10,34
9.62,151,8,499,135,48,10,28
7.36,121,0,200,133,73,13,24
3.89,123,0,149,118,62,16,105
10.31,159,0,362,121,26,18,80
12.01,136,0,160,94,38,12,63
4.68,124,0,199,135,52,14,46
7.82,124,13,87,110,57,10,25
8.78,130,0,391,100,26,18,30
10,114,0,199,88,57,10,43
6.9,120,20,266,90,78,18,56
5.04,123,0,298,151,34,16,114
5.36,111,0,12,101,61,11,52
5.05,125,0,86,117,65,11,67
9.16,137,10,435,156,72,14,105
3.72,139,5,310,132,62,13,111
8.31,133,0,70,117,32,16,97
5.64,124,5,288,122,57,12,24
9.58,108,23,353,129,37,17,104
7.71,123,8,198,81,80,15,81
4.2,147,0,277,144,73,10,40
8.67,125,14,477,112,80,13,62
3.47,108,0,251,81,72,14,38
5.12,123,10,467,100,74,11,36
7.67,129,8,400,101,36,10,117
5.71,121,4,188,118,54,15,42
6.37,120,15,86,132,48,18,77
7.77,116,6,434,115,25,17,26
6.95,128,5,324,159,31,15,29
5.31,130,10,402,129,39,17,35
9.1,128,12,343,112,73,17,93
5.83,134,7,473,112,51,12,82
6.53,123,0,66,105,39,11,57
5.01,159,0,438,166,46,17,69
11.99,119,0,284,89,26,10,26
4.55,111,0,504,110,62,16,56
12.98,113,0,14,63,38,12,33
10.04,116,8,244,86,58,12,106
7.22,135,2,67,119,34,11,93
6.67,107,11,210,132,53,11,119
6.93,135,14,296,130,73,15,69
7.8,136,12,326,125,36,16,48
7.22,114,2,129,151,40,15,113
3.42,141,13,376,158,64,18,57
2.86,121,10,496,145,51,10,86
11.19,122,7,303,105,45,16,69
7.74,150,0,80,154,61,11,96
5.36,135,0,112,117,80,16,110
6.97,106,11,414,96,79,17,46
7.6,146,11,261,131,39,10,26
7.53,117,11,429,113,67,18,118
6.88,95,4,208,72,44,17,44
6.98,116,0,74,97,76,15,40
8.75,143,25,448,156,43,17,77
9.49,107,14,400,103,41,11,111
6.64,118,0,106,89,39,17,70
11.82,113,16,322,74,76,15,66
11.28,123,0,74,89,59,10,84
12.66,148,3,126,99,60,11,76
4.21,118,14,502,137,79,10,35
8.21,127,13,160,123,63,18,44
3.07,118,13,276,104,75,10,83
10.98,148,0,312,130,63,15,63
9.4,135,17,497,96,54,17,40
8.57,116,1,158,99,45,11,78
7.41,99,0,198,87,57,16,93
5.28,108,13,388,110,74,14,77
10.01,133,16,290,99,43,11,52
11.93,123,12,408,134,29,10,98
8.03,115,26,394,132,33,13,29
4.78,131,1,85,133,48,12,32
5.9,138,0,13,120,61,12,92
9.24,126,19,436,126,52,10,80
11.18,131,13,33,80,68,18,111
9.53,175,29,419,166,53,12,65
6.15,146,12,328,132,51,14,68
6.8,137,5,337,135,38,10,117
9.33,103,3,491,54,66,13,81
7.72,133,10,333,129,71,14,33
6.39,131,8,220,171,29,14,21
15.63,122,5,369,72,35,10,36
6.41,142,0,472,136,80,15,30
10.08,116,10,456,130,41,14,72
6.97,127,19,459,129,57,11,45
5.86,136,12,171,152,44,18,70
7.52,123,5,499,98,34,15,39
9.16,140,10,300,139,60,15,50
10.36,107,18,428,103,34,12,105
2.66,136,4,133,150,53,13,65
11.7,144,11,131,104,47,11,69
4.69,133,0,152,122,53,17,30
6.23,112,17,316,104,80,16,38
3.15,117,1,65,111,55,11,66
11.27,100,9,433,89,45,12,54
4.99,122,0,501,112,32,14,59
10.1,135,15,213,134,32,10,63
5.74,106,20,354,104,61,12,33
5.87,136,7,303,147,41,10,60
7.63,93,9,489,83,42,13,117
6.18,120,15,464,110,72,15,70
5.17,138,6,60,143,28,18,35
8.61,130,0,283,102,80,15,38
5.97,112,0,164,101,45,11,24
11.54,134,4,219,126,44,15,44
7.5,140,0,105,91,43,16,29
7.38,98,0,268,93,72,10,120
7.81,137,13,422,118,71,10,102
5.99,117,10,371,121,26,14,42
8.43,138,0,108,126,70,13,80
4.81,121,0,279,149,79,12,68
8.97,132,0,144,125,33,13,107
6.88,96,0,161,112,27,14,39
12.57,132,20,459,107,49,11,102
9.32,134,18,467,96,49,14,27
8.64,111,17,266,91,63,17,101
10.44,124,16,458,105,62,16,115
13.44,133,14,288,122,61,17,103
9.45,107,12,430,92,35,12,67
5.3,133,1,80,145,42,18,31
7.02,130,0,306,146,42,11,100
3.58,142,0,111,164,72,12,109
13.36,103,3,276,72,34,15,73
4.17,123,10,71,118,69,11,96
3.13,130,11,396,130,66,14,62
8.77,118,7,265,114,52,15,86
8.68,131,10,183,104,56,15,25
5.25,131,0,26,110,79,12,55
10.26,111,1,377,108,25,12,75
10.5,122,16,488,131,30,14,21
6.53,154,0,122,162,57,17,30
5.98,124,11,447,134,53,12,56
14.37,95,0,256,53,52,17,106
10.71,109,10,348,79,74,14,22
10.26,135,22,463,122,36,14,100
7.68,126,22,403,119,42,12,41
9.08,152,0,191,126,54,16,81
7.8,121,0,508,98,65,11,50
5.58,137,0,402,116,78,17,71
9.44,131,7,90,118,47,12,47
7.9,132,4,206,124,73,11,46
16.27,141,19,319,92,44,11,60
6.81,132,0,263,125,41,12,61
6.11,133,3,105,119,79,12,88
5.81,125,0,404,107,54,15,111
9.64,106,10,17,89,68,17,64
3.9,124,21,496,151,77,13,65
4.95,121,19,315,121,66,14,28
9.35,98,0,76,68,63,10,117
12.85,123,15,348,112,28,12,37
5.87,131,13,455,132,62,17,73
5.32,152,0,170,160,39,16,116
8.67,142,14,238,115,73,14,73
8.14,135,11,245,78,79,16,89
8.44,128,8,328,107,35,12,42
5.47,108,9,61,111,67,12,75
6.1,153,0,49,124,56,16,63
4.53,129,13,315,130,34,13,42
5.57,109,10,26,120,30,17,51
5.35,130,19,366,139,33,16,58
12.57,138,17,203,128,33,14,108
6.14,139,3,37,120,55,11,23
7.41,162,12,368,159,40,18,26
5.94,100,7,284,95,50,12,79
9.71,134,0,27,120,49,16,37
